Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Akki4A,10/31/2020 15:02,0:16:15,,Friends: Season 6: The One with the Routine (Episode 10),,Apple iPhone 6s,0:16:38,Not latest view,IN (India)
Akki4A,10/31/2020 15:02,0:00:01,,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Apple iPhone 6s,0:18:10,Not latest view,IN (India)
Akki4A,10/31/2020 13:52,0:18:18,,Blood of Zeus: Season 1: A Call to Arms (Episode 1),,Apple iPhone 6s,0:18:08,Not latest view,IN (India)
Akki4A,10/31/2020 6:53,0:00:34,Autoplayed: user action: None; ,Friends: Season 6: The One with the Routine (Episode 10),,Chrome PC (Cadmium),0:00:34,Not latest view,IN (India)
Akki4A,10/31/2020 6:30,0:22:29,,Friends: Season 6: The One Where Ross Got High (Episode 9),,Chrome PC (Cadmium),0:22:33,0:22:33,IN (India)
Akki4A,10/30/2020 16:01,0:21:23,,Friends: Season 6: The One with Ross's Teeth (Episode 8),,Apple iPhone 6s,0:21:39,0:21:39,IN (India)
Akki4A,10/30/2020 13:04,0:00:02,Autoplayed: user action: None; ,Friends: Season 6: The One with Ross's Teeth (Episode 8),,Chrome PC (Cadmium),0:00:03,Not latest view,IN (India)
Akki4A,10/30/2020 12:46,0:15:43,,Friends: Season 6: The One Where Phoebe Runs (Episode 7),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/30/2020 5:38,0:05:43,Autoplayed: user action: None; ,Friends: Season 6: The One Where Phoebe Runs (Episode 7),,Chrome PC (Cadmium),0:06:09,Not latest view,IN (India)
Akki4A,10/30/2020 5:16,0:19:46,,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/30/2020 5:12,0:00:41,,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:02:06,Not latest view,IN (India)
Akki4A,10/29/2020 15:50,0:02:20,Autoplayed: user action: None; ,Trailer: Holidate,TRAILER,Chrome PC (Cadmium),0:00:00,0:00:00,IN (India)
Akki4A,10/29/2020 15:49,0:00:06,Autoplayed: user action: None; ,Trailer: A Suitable Boy,TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,IN (India)
Akki4A,10/29/2020 15:26,0:21:46,,Welcome,,Chrome PC (Cadmium),2:28:54,2:28:54,IN (India)
Akki4A,10/29/2020 15:26,0:00:12,Autoplayed: user action: None; ,Johnny English 3_hook_03_16x9,HOOK,Chrome PC (Cadmium),0:00:12,0:00:12,IN (India)
Akki4A,10/29/2020 9:30,0:01:44,Autoplayed: user action: None; ,Friends: Season 6: The One on the Last Night (Episode 6),,Chrome PC (Cadmium),0:01:45,Not latest view,IN (India)
Akki4A,10/29/2020 9:23,0:06:14,,Friends: Season 6: The One with Joey's Porsche (Episode 5),,Chrome PC (Cadmium),0:21:52,0:21:52,IN (India)
Akki4A,10/29/2020 5:08,0:07:31,,Friends: Season 6: The One with Joey's Porsche (Episode 5),,Chrome PC (Cadmium),0:15:38,Not latest view,IN (India)
Akki4A,10/28/2020 17:31,0:00:06,,Peaky Blinders: Season 5: Black Tuesday (Episode 1),,Apple iPhone 6s,0:50:18,0:50:18,IN (India)
Akki4A,10/28/2020 17:30,0:00:11,,Peaky Blinders: Season 4: The Company (Episode 6),,Apple iPhone 6s,0:53:59,0:53:59,IN (India)
Akki4A,10/28/2020 17:29,0:00:55,Autoplayed: user action: None; ,Peaky Blinders: Season 5_hook_primary_16x9,HOOK,Apple iPhone 6s,0:00:55,0:00:55,IN (India)
Akki4A,10/28/2020 17:29,0:00:05,Autoplayed: user action: None; ,The Divergent Series: Insurgent_hook_primary_16x9,HOOK,Apple iPhone 6s,0:00:06,0:00:06,IN (India)
Akki4A,10/28/2020 17:28,0:00:50,Autoplayed: user action: None; ,The Divergent Series: Allegiant_hook_primary_16x9,HOOK,Apple iPhone 6s,0:00:50,0:00:50,IN (India)
Akki4A,10/28/2020 17:28,0:00:07,Autoplayed: user action: None; ,Trailer: The SpongeBob Movie: Sponge on the Run,TRAILER,Apple iPhone 6s,0:00:08,0:00:08,IN (India)
Akki4A,10/28/2020 17:27,0:00:04,Autoplayed: user action: None; ,Trailer: Ludo,TRAILER,Apple iPhone 6s,0:00:05,0:00:05,IN (India)
Akki4A,10/28/2020 12:24,0:13:26,,Welcome,,Chrome PC (Cadmium),2:07:08,Not latest view,IN (India)
Akki4A,10/28/2020 12:23,0:00:04,Autoplayed: user action: None; ,Season 1 Trailer: Blood of Zeus,TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,IN (India)
Akki4A,10/28/2020 6:34,0:07:46,,Friends: Season 6: The One with Joey's Porsche (Episode 5),,Apple iPhone 6s,0:08:07,Not latest view,IN (India)
Akki4A,10/28/2020 6:28,0:05:53,,Friends: Season 6: The One Where Joey Loses His Insurance (Episode 4),,Apple iPhone 6s,0:21:51,0:21:51,IN (India)
Akki4A,10/27/2020 15:11,0:01:58,,Season 1 Trailer: Barbarians,TRAILER,Apple iPhone 6s,0:01:58,0:01:58,IN (India)
Akki4A,10/27/2020 15:11,0:00:06,Autoplayed: user action: None; ,Season 1 Teaser 2: Barbarians,TEASER_TRAILER,Apple iPhone 6s,0:00:07,0:00:07,IN (India)
Akki4A,10/27/2020 14:53,0:17:48,,Jaane Tu... Ya Jaane Na,,Apple iPhone 6s,2:23:40,2:23:40,IN (India)
Akki4A,10/27/2020 14:19,0:15:53,,Jaane Tu... Ya Jaane Na,,Apple iPhone 6s,2:05:42,Not latest view,IN (India)
Akki4A,10/27/2020 5:53,0:13:45,,Friends: Season 6: The One Where Joey Loses His Insurance (Episode 4),,Chrome PC (Cadmium),0:15:58,Not latest view,IN (India)
Akki4A,10/26/2020 6:02,0:02:12,Autoplayed: user action: None; ,Friends: Season 6: The One Where Joey Loses His Insurance (Episode 4),,Chrome PC (Cadmium),0:02:13,Not latest view,IN (India)
Akki4A,10/26/2020 5:53,0:09:02,,Friends: Season 6: The One with Ross's Denial (Episode 3),,Chrome PC (Cadmium),0:21:53,0:21:53,IN (India)
Akki4A,10/26/2020 5:53,0:00:11,Autoplayed: user action: None; ,Inglourious Basterds_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:11,0:00:11,IN (India)
Akki4A,10/25/2020 14:47,0:12:20,,Friends: Season 6: The One with Ross's Denial (Episode 3),,Apple iPhone 6s,0:12:51,Not latest view,IN (India)
Akki4A,10/25/2020 5:52,0:21:22,,Friends: Season 6: The One Where Ross Hugs Rachel (Episode 2),,Apple iPhone 6s,0:21:51,0:21:51,IN (India)
Akki4A,10/25/2020 5:48,0:04:31,,Friends: Season 6: The One After Vegas (Episode 1),,Apple iPhone 6s,0:22:05,0:22:05,IN (India)
Akki4A,10/24/2020 14:11,0:15:52,,Friends: Season 6: The One After Vegas (Episode 1),,Chrome PC (Cadmium),0:17:48,Not latest view,IN (India)
Akki4A,10/24/2020 14:11,0:00:23,Autoplayed: user action: None; ,Trailer: A Suitable Boy,TRAILER,Chrome PC (Cadmium),0:00:23,Not latest view,IN (India)
Akki4A,10/24/2020 6:24,0:01:28,Autoplayed: user action: None; ,Friends: Season 6: The One After Vegas (Episode 1),,Chrome PC (Cadmium),0:01:28,Not latest view,IN (India)
Akki4A,10/24/2020 6:03,0:20:42,Autoplayed: user action: None; ,Friends: Season 5: The One in Vegas: Part 2 (Episode 24),,Chrome PC (Cadmium),0:21:38,0:21:38,IN (India)
Akki4A,10/24/2020 5:50,0:13:39,,Friends: Season 5: The One in Vegas: Part 1 (Episode 23),,Chrome PC (Cadmium),0:22:07,0:22:07,IN (India)
Akki4A,10/24/2020 5:49,0:00:04,Autoplayed: user action: None; ,Trailer: A Suitable Boy,TRAILER,Chrome PC (Cadmium),0:00:04,Not latest view,IN (India)
Akki4A,10/23/2020 15:53,0:08:05,,Friends: Season 5: The One in Vegas: Part 1 (Episode 23),,Apple iPhone 6s,0:08:28,Not latest view,IN (India)
Akki4A,10/23/2020 15:47,0:03:07,,Friends: Season 5: The One with Joey's Big Break (Episode 22),,Apple iPhone 6s,0:22:02,0:22:02,IN (India)
Akki4A,10/23/2020 12:35,0:50:09,,Jaane Tu... Ya Jaane Na,,Chrome PC (Cadmium),1:49:49,Not latest view,IN (India)
Akki4A,10/23/2020 12:35,0:00:04,Autoplayed: user action: None; ,The Big Bang Theory: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,IN (India)
Akki4A,10/23/2020 3:54,0:18:47,,Friends: Season 5: The One with Joey's Big Break (Episode 22),,Apple iPhone 6s,0:18:54,Not latest view,IN (India)
Akki4A,10/22/2020 13:51,0:00:05,,Friends: Season 5: The One with Joey's Big Break (Episode 22),,Apple iPhone 6s,0:00:06,Not latest view,IN (India)
Akki4A,10/22/2020 13:18,0:21:24,,Friends: Season 5: The One with the Ball (Episode 21),,Apple iPhone 6s,0:22:05,0:22:05,IN (India)
Akki4A,10/22/2020 7:04,0:19:57,,Friends: Season 5: The One with the Ride-Along (Episode 20),,Chrome PC (Cadmium),0:21:53,0:21:53,IN (India)
Akki4A,10/22/2020 7:04,0:00:27,Autoplayed: user action: None; ,Trailer: Rebecca,TRAILER,Chrome PC (Cadmium),0:00:27,0:00:27,IN (India)
Akki4A,10/21/2020 15:52,0:01:55,,Friends: Season 5: The One with the Ride-Along (Episode 20),,Apple iPhone 6s,0:01:56,Not latest view,IN (India)
Akki4A,10/21/2020 15:36,0:13:33,,Friends: Season 5: The One Where Ross Can't Flirt (Episode 19),,Apple iPhone 6s,0:22:08,0:22:08,IN (India)
Akki4A,10/21/2020 9:40,0:28:54,,Jaane Tu... Ya Jaane Na,,Chrome PC (Cadmium),0:52:55,Not latest view,IN (India)
Akki4A,10/21/2020 9:40,0:00:01,,Friends: Season 5: The One Where Ross Can't Flirt (Episode 19),,Chrome PC (Cadmium),0:08:34,Not latest view,IN (India)
Akki4A,10/21/2020 5:43,0:08:33,Autoplayed: user action: None; ,Friends: Season 5: The One Where Ross Can't Flirt (Episode 19),,Chrome PC (Cadmium),0:08:33,Not latest view,IN (India)
Akki4A,10/21/2020 5:32,0:08:04,,Friends: Season 5: The One Where Rachel Smokes (Episode 18),,Chrome PC (Cadmium),0:22:09,0:22:09,IN (India)
